x,Weights,y,Weights,error_LT
3.671420787370000198e+02,9.901705279999930553e-01,-8.055023418000359925e-01,9.901705279999930553e-01,-8.055023418000359925e-01
3.691224197930000059e+02,9.994973270000000465e-01,-8.076417507998600032e-01,9.994973270000000465e-01,-8.076417507998600032e-01
3.711214144470000065e+02,1.004318535999999984e+00,-8.207179538002830066e-01,1.004318535999999984e+00,-8.207179538002830066e-01
3.731300515190000056e+02,9.963027120000450543e-01,-8.272445427999169931e-01,9.963027120000450543e-01,-8.272445427999169931e-01
3.751226569429999813e+02,1.001464577000009903e+00,-8.336741638002540533e-01,1.001464577000009903e+00,-8.336741638002540533e-01
3.771255860969999958e+02,9.936060629999869942e-01,-8.454922507999640402e-01,9.936060629999869942e-01,-8.454922507999640402e-01
3.791127982230000271e+02,1.000809876999970038e+00,-8.451794827998360127e-01,1.000809876999970038e+00,-8.451794827998360127e-01
3.811144179770000164e+02,9.994543670000269886e-01,-8.340598017998670510e-01,9.994543670000269886e-01,-8.340598017998670510e-01
3.831133267110000133e+02,9.986846509999910415e-01,-8.280888458000390528e-01,9.986846509999910415e-01,-8.280888458000390528e-01
3.851106960129999948e+02,9.979714890000079830e-01,-8.302399998000280501e-01,9.979714890000079830e-01,-8.302399998000280501e-01
3.871066389910000112e+02,9.938934949999800317e-01,-8.424958878002259954e-01,9.938934949999800317e-01,-8.424958878002259954e-01
3.890944259809999721e+02,1.008569300000000002e+00,-8.522444157998729786e-01,1.008569300000000002e+00,-8.522444157998729786e-01
3.911115645809999819e+02,1.001080718000030068e+00,-8.673250207999669836e-01,1.001080718000030068e+00,-8.673250207999669836e-01
3.931137260169999763e+02,9.971027029999960378e-01,-8.832359148000249460e-01,9.971027029999960378e-01,-8.832359148000249460e-01
3.951079314230000250e+02,9.930674679999640375e-01,-8.825982417998829987e-01,9.930674679999640375e-01,-8.825982417998829987e-01
3.970940663590000099e+02,9.901420290000260138e-01,-8.634082097998999616e-01,9.901420290000260138e-01,-8.634082097998999616e-01
