x_LE,y_LE,x_RE,y_RE
1.232421658731037428e-01,4.092529999999999859e+02,1.221394941421219821e-01,4.155470000000000255e+02
1.237404495626176354e-01,4.092540000000000191e+02,1.226322128544837659e-01,4.155470000000000255e+02
1.242387332521315418e-01,4.092789999999999964e+02,1.230701850432497774e-01,4.155360000000000014e+02
1.246816520872549849e-01,4.092919999999999732e+02,1.235629037556115334e-01,4.154979999999999905e+02
1.251799357767688914e-01,4.093050000000000068e+02,1.240556224679733033e-01,4.154739999999999895e+02
1.256782194662827978e-01,4.093170000000000073e+02,1.244935946567393148e-01,4.154870000000000232e+02
1.261211383014062548e-01,4.092919999999999732e+02,1.249863133691010708e-01,4.154900000000000091e+02
1.266747868453105830e-01,4.092660000000000196e+02,1.254790320814628268e-01,4.155009999999999764e+02
1.271177056804340399e-01,4.092900000000000205e+02,1.259717507938246106e-01,4.155129999999999768e+02
1.276159893699479464e-01,4.093039999999999736e+02,1.264097229825906221e-01,4.155489999999999782e+02
1.280589082050714311e-01,4.092909999999999968e+02,1.269024416949523781e-01,4.155380000000000109e+02
1.285571918945853098e-01,4.093050000000000068e+02,1.273404138837183897e-01,4.155129999999999768e+02
1.290554755840991885e-01,4.092780000000000200e+02,1.278878791196759179e-01,4.155110000000000241e+02
1.295537592736130950e-01,4.092780000000000200e+02,1.285448374028249352e-01,4.155339999999999918e+02
1.302735023806887438e-01,4.092649999999999864e+02,1.290375561151867190e-01,4.155330000000000155e+02
1.307164212158122008e-01,4.092280000000000086e+02,1.295302748275484750e-01,4.155459999999999923e+02
1.312147049053260794e-01,4.092400000000000091e+02,1.299682470163144865e-01,4.155350000000000250e+02
1.317129885948399859e-01,4.092400000000000091e+02,1.306799518230592483e-01,4.155609999999999786e+02
1.321559074299634429e-01,4.092799999999999727e+02,1.311726705354210043e-01,4.155729999999999791e+02
1.326541911194773493e-01,4.092909999999999968e+02,1.316653892477827603e-01,4.155760000000000218e+02
1.330971099546008063e-01,4.093050000000000068e+02,1.321581079601445441e-01,4.155649999999999977e+02
1.335953936441146850e-01,4.093559999999999945e+02,1.325960801489105556e-01,4.155140000000000100e+02
1.340936773336286192e-01,4.093559999999999945e+02,1.330887988612723394e-01,4.155160000000000196e+02
1.348134204407042402e-01,4.093419999999999845e+02,1.335267710500383509e-01,4.155280000000000200e+02
1.352563392758276972e-01,4.093419999999999845e+02,1.340194897624001069e-01,4.155260000000000105e+02
1.358099878197320254e-01,4.093299999999999841e+02,1.344574619511661184e-01,4.155269999999999868e+02
1.362529066548554824e-01,4.093559999999999945e+02,1.350049271871236467e-01,4.155240000000000009e+02
1.367511903443693888e-01,4.093170000000000073e+02,1.354428993758896582e-01,4.155240000000000009e+02
1.371941091794928458e-01,4.093179999999999836e+02,1.359356180882514142e-01,4.155500000000000114e+02
1.376923928690067522e-01,4.093310000000000173e+02,1.364283368006131703e-01,4.155230000000000246e+02
1.381906765585206309e-01,4.093570000000000277e+02,1.369210555129749263e-01,4.154979999999999905e+02
1.386889602480345374e-01,4.093310000000000173e+02,1.373590277017409378e-01,4.154970000000000141e+02
1.391318790831579943e-01,4.093570000000000277e+02,1.378517464141026938e-01,4.154619999999999891e+02
