Id,TimeStamp,X_mm_,Y_mm_,Z_mm_
342,26.07.2023 15:37:14.040,-15.3620023469999,186.6822305532,1.69286839419999
343,26.07.2023 15:37:14.050,-14.8938474549999,186.6753737422,1.54299575620001
344,26.07.2023 15:37:14.060,-14.415084509,186.6581472092,1.40516214120003
345,26.07.2023 15:37:14.070,-13.9202039529999,186.6568616512,1.26627586420002
346,26.07.2023 15:37:14.080,-13.444919703,186.6654786882,1.12835029719999
347,26.07.2023 15:37:14.090,-12.975513255,186.6717816912,0.997431632200017
348,26.07.2023 15:37:14.100,-12.5001757809999,186.6794603362,0.876509498200037
349,26.07.2023 15:37:14.110,-12.031373827,186.6787989082,0.768615419200033
350,26.07.2023 15:37:14.120,-11.556809621,186.6824729462,0.660707326200028
351,26.07.2023 15:37:14.130,-11.063333973,186.6882389172,0.555796079200009
352,26.07.2023 15:37:14.140,-10.5748261569999,186.6757487182,0.46694824020001
353,26.07.2023 15:37:14.150,-10.090370167,186.6640500592,0.384096746200041
354,26.07.2023 15:37:14.160,-9.61715209500003,186.6737490342,0.30216726619999
